date,ticker,spread,spread_zscore,allocation
2021-04-01,AAPL,-0.22013023368263912,0.09831667482865414,0.024579168707163535
2021-04-05,AAPL,-0.23056473394733043,0.04726154385735669,0.011815385964339172
2021-04-06,AAPL,-0.24024679508011063,-0.09227958347833612,-0.02306989586958403
2021-04-07,AAPL,-0.2577008963321907,-0.3477808403626436,-0.0869452100906609
2021-04-08,AAPL,-0.2674544091444146,-0.41349967365690904,-0.10337491841422726
2021-04-09,AAPL,-0.2861084898917868,-0.626886430937892,-0.156721607734473
2021-04-12,AAPL,-0.14610752412445416,0.7520555015100349,0.18801387537750872
2021-04-13,AAPL,-0.15443685367504162,0.6653726400411188,0.1663431600102797
2021-04-14,AAPL,-0.14926410720664537,0.7122243410207472,0.1780560852551868
2021-04-15,AAPL,-0.15568327371505744,0.6460947455397692,0.1615236863849423
2021-04-16,AAPL,-0.15455610511503173,0.6559824706206283,0.16399561765515708
2021-04-19,AAPL,-0.1257153576145599,0.9085467733306137,0.22713669333265343
2021-04-20,AAPL,-0.12805637268530373,0.8562477729797254,0.21406194324493136
2021-04-21,AAPL,-0.10997655120072317,1.0004504254515076,0.2501126063628769
2021-04-22,AAPL,-0.10745458145114904,0.9927287736051592,0.2481821934012898
2021-04-23,AAPL,-0.11654324336563997,0.8728106974584099,0.21820267436460247
2021-04-26,AAPL,-0.12395443491847515,0.7711532458382567,0.19278831145956418
2021-04-27,AAPL,-0.12475153294497154,0.7365935988406356,0.1841483997101589
2021-04-28,AAPL,-0.12142528396452276,0.7432573640595788,0.1858143410148947
2021-04-29,AAPL,-0.12447715259731681,0.6860238198503033,0.1715059549625758
2021-04-30,AAPL,-0.11650651721048295,0.7408391563935962,0.18520978909839905
2021-05-03,AAPL,-0.10612430086672986,0.8205172642674405,0.20512931606686013
2021-05-04,AAPL,-0.09804168954819181,0.8768270569784711,0.21920676424461777
2021-05-05,AAPL,-0.09426211985415792,0.889122737860115,0.22228068446502874
2021-05-06,AAPL,-0.09811054143996221,0.8207746625078689,0.20519366562696723
2021-05-07,AAPL,-0.09695792741149564,0.8074668571885318,0.20186671429713296
2021-05-10,AAPL,-0.09496126151178158,0.8476030010529069,0.21190075026322672
2021-05-11,AAPL,-0.09360314214056237,0.8611082295882775,0.21527705739706937
2021-05-12,AAPL,-0.08999029588939537,0.9203243230699127,0.23008108076747819
2021-05-13,AAPL,-0.08183594307173248,1.0328358266286017,0.25820895665715043
2021-05-14,AAPL,-0.09390417989704292,0.9159189270924961,0.22897973177312403
2021-05-17,AAPL,-0.09374243280416182,0.8892147285785738,0.22230368214464344
2021-05-18,AAPL,-0.0937507049083987,0.8602882130471091,0.21507205326177728
2021-05-19,AAPL,-0.09428313315077957,0.8255555272634806,0.20638888181587015
2021-05-20,AAPL,-0.09449196222609299,0.7952324628529479,0.19880811571323698
2021-05-21,AAPL,-0.09291887951379947,0.786727758903242,0.1966819397258105
2021-05-24,AAPL,-0.09321116464153596,0.7557582892902757,0.18893957232256892
2021-05-25,AAPL,-0.0933785532686102,0.728227116369567,0.18205677909239176
2021-05-26,AAPL,-0.09309204777561748,0.7063072749307879,0.17657681873269698
2021-05-27,AAPL,-0.09284291783367662,0.6866236748657335,0.17165591871643338
2021-05-28,AAPL,-0.09301021995973263,0.6603717330489695,0.16509293326224236
2021-06-01,AAPL,-0.09400141312835669,0.620896750033454,0.1552241875083635
2021-06-02,AAPL,-0.09454928907731015,0.5876902872032471,0.14692257180081178
2021-06-03,AAPL,-0.09418934519291428,0.5674906727125191,0.14187266817812977
2021-06-04,AAPL,-0.09294046106072618,0.56073688107887,0.1401842202697175
2021-06-07,AAPL,-0.08636692703337706,0.6383609428657314,0.15959023571643285
2021-06-08,AAPL,-0.09638602452432697,0.5147434177659462,0.12868585444148656
2021-06-09,AAPL,-0.09651733010614261,0.5517940837544446,0.13794852093861115
