date,spot,filtered_variance,predicted_variance,forecast_average_variance,forecast_volatility,loglikelihood,rv_proxy,mu,kappa,theta,xi,rho,ticker
2020-07-02,364.11,0.11637540263172998,0.1190931540731981,0.12065939201351591,0.3473606080336628,2.8086961053499393,0.09943653143613188,0.45497594032380584,5.0,0.13376140481509008,0.7860499594863982,-0.01,AAPL
2020-07-06,373.81,0.10604715022834756,0.11673336663079681,0.11287606760231117,0.33597033738458393,2.6041805815977708,0.04244629795962924,0.5,5.0,0.13376140481509008,0.7849532706601754,-0.01,AAPL
2020-07-07,372.69,0.09691207380062752,0.10660833671499859,0.1059919152228816,0.32556399558747523,2.7694837815469593,0.036855153171224855,0.5,5.0,0.13376140481509008,0.7839319485829866,-0.01,AAPL
2020-07-08,381.37,0.09111543117891543,0.09766427481372375,0.10162359149699879,0.31878455341656503,2.7224806191125195,0.05219977894640434,0.5,5.0,0.13376140481509008,0.7829683882126716,-0.01,AAPL
2020-07-09,382.65,0.08585260863941438,0.09198156559796189,0.09765755217653037,0.3125020834755032,2.895929724802346,0.04679822151752086,0.5,5.0,0.13376140481509008,0.7822190550942856,-0.01,AAPL
2020-07-10,383.68,0.08117698342260289,0.08682636619050754,0.09413402210906849,0.3068126824449545,2.9302115078300153,0.044138047798974095,0.499173266963431,5.0,0.13376140481509008,0.7814380148639272,-0.01,AAPL
2020-07-13,381.91,0.07566517883831635,0.0822225645679282,0.08998035104303043,0.2999672499507745,2.9372832504805473,0.03068018395196461,0.4852989447911843,5.0,0.13376140481509008,0.7812382369183746,-0.01,AAPL
2020-07-14,388.21,0.07092894752295494,0.07679947369615547,0.08641114849314965,0.29395773249423063,2.9083403957733442,0.03179438879207452,0.47566673070638554,5.0,0.13376140481509008,0.7816850729100747,-0.01,AAPL
2020-07-15,390.9,0.06503634201398398,0.07216024415538413,0.08197050756840296,0.2863049206150725,2.9985480525299293,0.014702742377124463,0.5,5.0,0.13376140481509008,0.7823137316154244,-0.01,AAPL
2020-07-16,386.23,0.06219683560126143,0.06637946222690516,0.07983066834732837,0.2825432150084804,2.981484491426218,0.02967887554227039,0.5,5.0,0.13376140481509008,0.7828446935800478,-0.01,AAPL
2020-07-17,385.31,0.059807384196565117,0.06358939779966022,0.07802998854970164,0.27933848383225257,3.100676448153555,0.03044815779902697,0.47152002885753985,5.0,0.13376140481509008,0.7833388329733749,-0.01,AAPL
2020-07-20,393.43,0.05916456024748275,0.06122031796257943,0.07754555932202695,0.2784700330772181,2.9683268963605745,0.04560023271988141,0.4913672672034213,5.0,0.13376140481509008,0.7850244974712093,-0.01,AAPL
2020-07-21,388.0,0.05988738248889265,0.06059200110757956,0.07809027490185583,0.279446372139371,3.04232821154063,0.05202798848395161,0.4770579845768037,5.0,0.13376140481509008,0.786459591588218,-0.01,AAPL
2020-07-22,389.09,0.05981156739472561,0.061108971953217406,0.07768499676767471,0.27872028409800875,3.169803882925413,0.04925200576325007,0.4748237801656658,5.0,0.13234850771101547,0.7886516531093222,-0.01,AAPL
