date,spot,filtered_variance,predicted_variance,forecast_average_variance,forecast_volatility,loglikelihood,mu,kappa,theta,xi,rho,ticker
2021-01-06,126.66,0.008097014355728738,0.008010769025304398,0.003774558287914851,0.061437433930095514,2.054018824539225,-0.5,15.0,1e-06,0.0010267706781112928,-0.95,AAPL
2021-01-07,130.86,1.2479675784872144,1.256946476525627,0.5816791466004795,0.76267892759698,0.9318689490564034,-0.5,15.0,1e-06,0.0010267706781112928,-0.95,AAPL
2021-01-08,131.99,1.1685348986108068,1.1716595061006956,0.5446555156743799,0.7380078019061722,0.9844367279511999,-0.5,15.0,1e-06,0.0010267706781112928,-0.95,AAPL
2021-01-11,128.98,0.0033526240318449262,0.0033247051809439654,0.0015631944437874675,0.0395372538726132,2.666676830212561,-0.5,15.0,1e-06,0.0010267706781112928,-0.95,AAPL
2021-01-12,128.82,0.3593226193700848,0.3601873845909722,0.1674810729375584,0.4092445148533556,1.5869700065700656,-0.5,15.0,1e-06,0.0010267706781112928,-0.95,AAPL
2021-01-13,130.89,0.03227589428603325,0.03246753550683934,0.03227397323761235,0.17964958457400437,2.383625603287467,0.5,0.001,1e-06,0.47890856998032866,0.95,AAPL
2021-01-14,128.91,0.03234823486355241,0.03212297963727906,0.03234630950931563,0.1798507979112565,2.354819638796995,0.5,0.001,1e-06,0.47890856998032866,0.95,AAPL
2021-01-15,127.07,0.032325029390104086,0.03195451731153298,0.03232310541709067,0.17978627705442557,2.258330459243448,0.5,0.001,1e-06,0.47890856998032866,0.95,AAPL
2021-01-19,127.82,0.032443418360586986,0.032396224058174994,0.0324414873408907,0.1801152057459078,2.4292899235338763,0.5,0.001,1e-06,0.47890856998032866,0.95,AAPL
2021-01-20,132.03,0.031966241980967286,0.03239162320005562,0.03196433936349976,0.17878573590613922,2.0757745391329596,0.5,0.001,1e-06,0.47890856998032866,0.95,AAPL
2021-01-21,136.87,0.10187011665734241,0.08867904752696631,0.1043546694018595,0.3230397334723076,1.7189182742531237,-0.09828645871465465,0.7426053888023436,0.1597467802207427,0.4878812423463257,0.9499999647158386,AAPL
2021-01-22,138.97,0.11015123585035706,0.10240039978452842,0.11228029337189643,0.33508251725790833,2.0087974096618337,-0.09828645871465465,0.7426053888023436,0.1597467802207427,0.4878812423463257,0.9499999647158386,AAPL
2021-01-25,142.9,0.12089360292454114,0.10997154781216523,0.12256150778188907,0.350087857232851,1.871413613933679,-0.09828645871465465,0.7426053888023436,0.1597467802207427,0.4878812423463257,0.9499999647158386,AAPL
2021-01-26,143.18,0.12384896730802403,0.12110076318640495,0.12539000309176015,0.3541045087142497,2.058961842162949,-0.09828645871465465,0.7426053888023436,0.1597467802207427,0.4878812423463257,0.9499999647158386,AAPL
2021-01-27,142.53,0.1232400442376377,0.12415634995340952,0.1248072201164066,0.35328065347030624,2.0358420524520606,-0.09828645871465465,0.7426053888023436,0.1597467802207427,0.4878812423463257,0.9499999647158386,AAPL
2021-01-28,137.09,0.1100238750495139,0.12360471618376323,0.11220380624503398,0.3349683660363079,1.7564754415284818,-0.09885606937512909,0.7415886121591325,0.16087210393621398,0.48846691782550833,0.95,AAPL
2021-01-29,131.74,0.09651204006565164,0.11226042934504221,0.09927124159634254,0.3150733908097327,1.663789457360019,-0.09885606937512909,0.7415886121591325,0.16087210393621398,0.48846691782550833,0.95,AAPL
2021-02-01,134.14,0.09873450710732422,0.09459764819621341,0.10139842852027586,0.31843119903721095,2.041132997814903,-0.09885606937512909,0.7415886121591325,0.16087210393621398,0.48846691782550833,0.95,AAPL
2021-02-02,134.94,0.10291618503683149,0.1001381697387842,0.10540083235572448,0.3246549435257755,2.102659799019786,-0.09885606937512909,0.7415886121591325,0.16087210393621398,0.48846691782550833,0.95,AAPL
2021-02-03,133.92,0.10092618480726788,0.10275537471534335,0.10349614608250698,0.32170816912616157,2.0994744718182976,-0.09885606937512909,0.7415886121591325,0.16087210393621398,0.48846691782550833,0.95,AAPL
2021-02-04,137.39,0.10932299410468334,0.10078325649374165,0.11146440762728248,0.33386285751380385,1.9641580357596262,-0.09942716105790363,0.7547409860028346,0.1584275767739728,0.49473318148985473,0.95,AAPL
2021-02-05,136.77,0.10961107009297669,0.10951334746641805,0.11173992084071177,0.33427521720987896,2.1018494178665077,-0.09942716105790363,0.7547409860028346,0.1584275767739728,0.49473318148985473,0.95,AAPL
2021-02-08,136.91,0.11218284048819302,0.11160111529534333,0.1141995382839638,0.33793422183017185,2.0672170791324866,-0.09942716105790363,0.7547409860028346,0.1584275767739728,0.49473318148985473,0.95,AAPL
2021-02-09,135.99,0.11105843657367533,0.1130980016059766,0.11312416876942519,0.33633936547693194,2.057194852887345,-0.09942716105790363,0.7547409860028346,0.1584275767739728,0.49473318148985473,0.95,AAPL
2021-02-10,135.36,0.11029895349637765,0.1120237021423236,0.11239780617179565,0.3352578204483762,2.054318362721116,-0.09942716105790363,0.7547409860028346,0.1584275767739728,0.49473318148985473,0.95,AAPL
2021-02-11,135.12,0.0038943531326124424,0.0038921319265909915,0.0028015809584792523,0.05292996276665281,2.7247921913263027,-0.4999931971020014,14.99508835402205,0.0018472024228935382,0.0026240247033615907,0.9473370696081063,AAPL
2021-02-12,135.34,0.020674375558894533,0.02067447246008669,0.010624401796369348,0.10307473888576846,2.4955546190715996,-0.4999931971020014,14.99508835402205,0.0018472024228935382,0.0026240247033615907,0.9473370696081063,AAPL
2021-02-16,133.16,0.002493065471582345,0.002460299074300565,0.002148302790184614,0.04634978738014463,2.6391504554917886,-0.4999931971020014,14.99508835402205,0.0018472024228935382,0.0026240247033615907,0.9473370696081063,AAPL
2021-02-17,130.84,0.0015343979126791036,0.0014573057194411376,0.0017013734377749727,0.04124770827300558,2.330121193924898,-0.4999931971020014,14.99508835402205,0.0018472024228935382,0.0026240247033615907,0.9473370696081063,AAPL
2021-02-18,129.71,0.001625114343226791,0.0015529079645943966,0.0017436652992039504,0.04175721852810542,2.3807813629739765,-0.4999931971020014,14.99508835402205,0.0018472024228935382,0.0026240247033615907,0.9473370696081063,AAPL
2021-02-19,129.87,0.0875190994287384,0.08789389671801473,0.09356104790913775,0.3058775047451802,2.1338331758435896,0.10109431578471616,0.5120842426184415,0.28978626468508395,0.550349455920711,0.9480223794267486,AAPL
2021-02-22,126.01,0.07834295602583904,0.08869526628404856,0.08465900626476561,0.2909622076228554,1.931152959000111,0.10109431578471616,0.5120842426184415,0.28978626468508395,0.550349455920711,0.9480223794267486,AAPL
2021-02-23,125.86,0.07582081325266192,0.07821119858272141,0.08221220274240776,0.28672670392275595,2.137075090655329,0.10109431578471616,0.5120842426184415,0.28978626468508395,0.550349455920711,0.9480223794267486,AAPL
2021-02-24,125.32,0.07483693150770171,0.07672927110616001,0.08125771065545911,0.28505738133831776,2.175985252703975,0.10109431578471616,0.5120842426184415,0.28978626468508395,0.550349455920711,0.9480223794267486,AAPL
2021-02-25,121.0,0.06359337632653897,0.07519045731169172,0.0703500131556705,0.26523576899745344,1.8572676734671076,0.10109431578471616,0.5120842426184415,0.28978626468508395,0.550349455920711,0.9480223794267486,AAPL
2021-02-26,121.35,0.062388613870248855,0.06390803125032107,0.06936585638308118,0.2633739857751353,2.194588710611195,0.10168267105395497,0.5273702883234304,0.2893325983429231,0.5524506915519123,0.95,AAPL
2021-03-01,127.79,0.08344856218471984,0.06793267547982396,0.0897783305332151,0.29963032312036625,1.5367552220603122,0.10168267105395497,0.5273702883234304,0.2893325983429231,0.5524506915519123,0.95,AAPL
2021-03-02,125.16,0.0775795569858008,0.08049312278308207,0.08408976401248827,0.28998235120863525,2.2191168089434936,0.10168267105395497,0.5273702883234304,0.2893325983429231,0.5524506915519123,0.95,AAPL
2021-03-03,122.06,0.09285628613556998,0.10268882628588472,0.09889682024130092,0.31447864830748196,1.9329041778126623,0.10168267105395497,0.5273702883234304,0.2893325983429231,0.5524506915519123,0.95,AAPL
2021-03-04,120.3,0.0832701268070818,0.090096216830716,0.08960538103309673,0.29934157919189364,2.0279814749294527,0.10168267105395497,0.5273702883234304,0.2893325983429231,0.5524506915519123,0.95,AAPL
2021-03-05,121.39,0.06281293667243969,0.06141191208917007,0.0697771339113849,0.26415361801683673,2.2272918574656315,0.10168267149716612,0.5273703044267993,0.28933259969004366,0.5524506909382998,0.9499999978859168,AAPL
2021-03-08,116.41,0.05512713916269482,0.06743738334989757,0.062327631163354824,0.24965502431025663,1.770730375141373,0.10168267149716612,0.5273703044267993,0.28933259969004366,0.5524506909382998,0.9499999978859168,AAPL
2021-03-09,121.08,0.06061293432846774,0.051951733708847314,0.06764476918458692,0.26008608033608205,2.0054858740573036,0.10168267149716612,0.5273703044267993,0.28933259969004366,0.5524506909382998,0.9499999978859168,AAPL
2021-03-10,119.97,0.0619506442410424,0.06271585521972156,0.06894135209054525,0.26256685261194956,2.29778865242306,0.10168267149716612,0.5273703044267993,0.28933259969004366,0.5524506909382998,0.9499999978859168,AAPL
2021-03-11,121.96,0.0704835153114814,0.06591372947150376,0.07721188568282716,0.27787026772007684,2.17577498247934,0.10168267149716612,0.5273703044267993,0.28933259969004366,0.5524506909382998,0.9499999978859168,AAPL
2021-03-12,121.04,0.0006882456921715437,0.0007125829465337574,0.0003213257363792467,0.017925560978090664,2.7511606164595213,-0.49998914395572525,14.99999925282429,1e-06,0.003861259939112759,0.9482480533557232,AAPL
2021-03-15,124.0,0.0004913279614151687,0.0005997028455055897,0.00022954223328975598,0.015150651249690754,1.989103607575002,-0.49998914395572525,14.99999925282429,1e-06,0.003861259939112759,0.9482480533557232,AAPL
2021-03-16,125.57,0.0003364315328966786,0.00046216866681447755,0.00015734489092312576,0.012543719182249169,1.7327084146376939,-0.49998914395572525,14.99999925282429,1e-06,0.003861259939112759,0.9482480533557232,AAPL
2021-03-17,124.78,0.0007805295498122979,0.000839411665708667,0.00036433931215196095,0.019087674351579896,2.502870478420654,-0.49998914395572525,14.99999925282429,1e-06,0.003861259939112759,0.9482480533557232,AAPL
2021-03-18,120.59,0.0002941194292191048,0.00022511900446886557,0.00013762318742950718,0.011731290953237295,2.5048124284824254,-0.49998914395572525,14.99999925282429,1e-06,0.003861259939112759,0.9482480533557232,AAPL
2021-03-19,119.88,0.024453264777658308,0.02693276724039606,0.029873703696791404,0.17284011020822512,2.3012213460912094,0.2219206378647956,0.3983951702771424,0.25665662412218415,0.6698024442109882,0.95,AAPL
2021-03-22,123.37,0.02789536452205738,0.025228379326108552,0.033235452788767744,0.1823059318529371,2.256903738571488,0.2219206378647956,0.3983951702771424,0.25665662412218415,0.6698024442109882,0.95,AAPL
2021-03-23,122.53,0.027782821682109226,0.02778561266404722,0.03312553709250715,0.1820042227326255,2.488004340055193,0.2219206378647956,0.3983951702771424,0.25665662412218415,0.6698024442109882,0.95,AAPL
2021-03-24,120.08,0.025502328098025363,0.02754610126157786,0.030898278208441793,0.17577906077926855,2.2787013883262452,0.2219206378647956,0.3983951702771424,0.25665662412218415,0.6698024442109882,0.95,AAPL
2021-03-25,120.6,0.03704526355856154,0.03759368889586767,0.04217176116498342,0.20535764209053292,2.369395438425221,0.2219206378647956,0.3983951702771424,0.25665662412218415,0.6698024442109882,0.95,AAPL
2021-03-26,121.21,0.036933103443845865,0.03608433167573821,0.044950513166747114,0.21201536068584068,2.399531479157606,0.23473476655546852,0.6583022280307417,0.24691861088577616,0.6511848737301907,0.95,AAPL
2021-03-29,121.39,0.037887925080733104,0.0374693146586651,0.04586887897214162,0.21417021028177943,2.4069929096269416,0.23473476655546852,0.6583022280307417,0.24691861088577616,0.6511848737301907,0.95,AAPL
2021-03-30,119.98,0.035474527781556346,0.03856411710330576,0.04354762705579321,0.20868068203787626,2.3438777797761317,0.23473476655546852,0.6583022280307417,0.24691861088577616,0.6511848737301907,0.95,AAPL
2021-03-31,122.18,0.03912072858858926,0.035553411920773215,0.04705461308482514,0.21692075300631136,2.3253616680590117,0.23473476655546852,0.6583022280307417,0.24691861088577616,0.6511848737301907,0.95,AAPL
2021-04-01,123.0,0.042277159417857674,0.03977225884773361,0.050090528934138345,0.22380913505515887,2.3710127674842534,0.23473476655546852,0.6583022280307417,0.24691861088577616,0.6511848737301907,0.95,AAPL
