date,spot,filtered_variance,predicted_variance,forecast_average_variance,forecast_volatility,loglikelihood,rv_proxy,mu,kappa,theta,xi,rho,ticker
2021-01-06,126.66,0.1703287718844392,0.1906214193732012,0.6211680177754935,0.788142130440629,1.9130239695654043,0.07405346845905762,-0.5,5.0,2.0,3.0,-0.6781709671967939,AAPL
2021-01-07,130.86,0.15582887900685538,0.20663177127426025,0.610240963924932,0.7811792137051088,2.2355258897624677,0.18028757799190184,-0.5,5.0,2.0,3.0,-0.6781709671967939,AAPL
2021-01-08,131.99,0.17725561528298067,0.19241957701888168,0.6263880557074484,0.7914468116730576,2.418994070696781,0.1861097714816781,-0.5,5.0,2.0,3.0,-0.6781709671967939,AAPL
2021-01-11,128.98,0.22516377405361623,0.21342117886524647,0.6624914280004457,0.8139357640504843,2.3729983312895837,0.18332141290850704,-0.5,5.0,2.0,3.0,-0.6781709671967939,AAPL
2021-01-12,128.82,0.22193982816551375,0.2603787764455774,0.6600618769252751,0.8124419221859954,2.368015036865561,0.1718344872089442,-0.5,5.0,2.0,3.0,-0.6781709671967939,AAPL
2021-01-13,130.89,0.1699457809160717,0.2571997757186182,0.6208793953068474,0.787959006108089,2.142995414003032,0.10773626914251806,-0.5,4.999999985573227,1.9999999953921304,3.0,-0.6778528665404423,AAPL
2021-01-14,128.91,0.155910540864085,0.2062563797662733,0.6103025017210044,0.7812186004704473,2.068579042770737,0.0660883310658952,-0.5,4.999999985573227,1.9999999953921304,3.0,-0.6778528665404423,AAPL
2021-01-15,127.07,0.14867604980720495,0.19249961728201015,0.6048506218975793,0.7777214294961785,2.2308769413902305,0.05910891223451488,-0.5,4.999999985573227,1.9999999953921304,3.0,-0.6778528665404423,AAPL
2021-01-19,127.82,0.11802353636362081,0.18540866669354727,0.5817510260495182,0.7627260491483939,2.3637850615198297,0.044918586390646664,-0.5,4.999999985573227,1.9999999953921304,3.0,-0.6778528665404423,AAPL
2021-01-20,132.03,0.09425070687282766,0.15536433934175875,0.5638359289918857,0.7508900911530833,2.274501023390302,0.10437675734994169,-0.5,4.999999985573227,1.9999999953921304,3.0,-0.6778528665404423,AAPL
2021-01-21,136.87,0.09330214276605858,0.1320625936568831,0.5631210976078989,0.75041395083507,2.2093259812127264,0.1525121264613686,-0.5,5.0,2.0,3.0,-0.6779630543229458,AAPL
2021-01-22,138.97,0.10042875251644118,0.13113344867088017,0.5684916785612766,0.7539838715524866,2.6870035800881458,0.10648121174463894,-0.5,5.0,2.0,3.0,-0.6779630543229458,AAPL
2021-01-25,142.9,0.06620433121109985,0.13811865825846326,0.5427003090825464,0.7366819592487293,2.493824180867831,0.03991777993605526,-0.5,5.0,2.0,3.0,-0.6779630543229458,AAPL
2021-01-26,143.18,0.08052475529588948,0.10457329255223158,0.5534921160606026,0.7439705075206964,2.73971696247378,0.04940287147024967,-0.5,5.0,2.0,3.0,-0.6779630543229458,AAPL
2021-01-27,142.53,0.10760618401332753,0.11860958081888384,0.5739005585535171,0.7575622473127321,2.959339127538733,0.07302174251464963,-0.5,5.0,2.0,3.0,-0.6779630543229458,AAPL
2021-01-28,137.09,0.1988029659349823,0.1451545942327357,0.6426260419394261,0.801639596040157,2.362976053237176,0.16051876779108343,-0.5,5.0,2.0,3.0,-0.6778613720318305,AAPL
2021-01-29,131.74,0.2749881557502221,0.234541003133927,0.700038857244659,0.8366832478570723,2.258602896323647,0.20980929243231106,-0.5,5.0,2.0,3.0,-0.6778613720318305,AAPL
2021-02-01,134.14,0.2272459256444196,0.30921458087686915,0.6640605280448271,0.8148990907129711,2.2336818012771644,0.1668915909009072,-0.5,5.0,2.0,3.0,-0.6778613720318305,AAPL
2021-02-02,134.94,0.2122658562357309,0.262419618156855,0.6527716153269307,0.8079428292440813,2.1159037763004878,0.17503595294055768,-0.5,5.0,2.0,3.0,-0.6778613720318305,AAPL
2021-02-03,133.92,0.21814626470581897,0.2477367716419394,0.6572030646182068,0.8106806181340508,2.20530265483694,0.1727053579048738,-0.5,5.0,2.0,3.0,-0.6778613720318305,AAPL
2021-02-04,137.39,0.18416429936099743,0.25347984542895574,0.6315944079528626,0.7947291412505664,2.180248577350505,0.1673862524093378,-0.5,4.999999995721283,1.9999999976040004,3.0,-0.6775654033556581,AAPL
2021-02-05,136.77,0.1451543821066137,0.22019278576772194,0.6021967103118377,0.7760133441583578,2.0822293087343624,0.05121300816732763,-0.5,4.999999995721283,1.9999999976040004,3.0,-0.6775654033556581,AAPL
2021-02-08,136.91,0.11745088311486529,0.18195687445404474,0.5813194784621256,0.7624430985077677,2.2618667084328816,0.04317159095789326,-0.5,4.999999995721283,1.9999999976040004,3.0,-0.6775654033556581,AAPL
2021-02-09,135.99,0.11651740708227135,0.15480304812808754,0.5806160151355466,0.7619816370067894,2.4261448690277083,0.048315136122368894,-0.5,4.999999995721283,1.9999999976040004,3.0,-0.6775654033556581,AAPL
2021-02-10,135.36,0.1156386793013292,0.15388809291471262,0.5799538098444037,0.7615469846597803,2.5548218091890504,0.04536218247461303,-0.5,4.999999995721283,1.9999999976040004,3.0,-0.6775654033556581,AAPL
2021-02-11,135.12,0.09704259356109801,0.15306697319465457,0.5659398844505217,0.7522897609635011,2.491233715879769,0.0022781701511658675,-0.5,5.0,2.0,3.0,-0.6780277823280855,AAPL
2021-02-12,135.34,0.0823418905485167,0.1347996850454365,0.5548615009882603,0.744890261037329,2.550131391777969,0.0032615281754324738,-0.5,5.0,2.0,3.0,-0.6780277823280855,AAPL
2021-02-16,133.16,0.10053123900118477,0.12039066156648914,0.5685689119137713,0.7540350866596138,2.5607268423038563,0.011481941996584612,-0.5,5.0,2.0,3.0,-0.6780277823280855,AAPL
2021-02-17,130.84,0.11919053068532617,0.1382191098309704,0.5826304699381863,0.7633023450364779,2.5938291060457415,0.01901905755450161,-0.5,5.0,2.0,3.0,-0.6780277823280855,AAPL
2021-02-18,129.71,0.11862194778226098,0.15650817901041592,0.5822019884278224,0.7630216172742568,2.563975731628926,0.018274777882895728,-0.5,5.0,2.0,3.0,-0.6780277823280855,AAPL
2021-02-19,129.87,0.10438113621771644,0.15624587799538858,0.5714701770858197,0.7559564650731018,2.5330996721068684,0.021289423703011127,-0.5,5.0,2.0,3.0,-0.6804250937500955,AAPL
2021-02-22,126.01,0.1384153864045244,0.14199262239708332,0.5971182344676551,0.7727342586346584,2.2541902480749387,0.0339791483410763,-0.5,5.0,2.0,3.0,-0.6804250937500955,AAPL
2021-02-23,125.86,0.1272808212192971,0.1753515907912515,0.5887272763820504,0.7672856550086482,2.5950485347701244,0.04168848806029131,-0.5,5.0,2.0,3.0,-0.6804250937500955,AAPL
2021-02-24,125.32,0.12068217547439757,0.1644379482313525,0.5837545667210868,0.764038328044534,2.451546219687734,0.04003344177924388,-0.5,5.0,2.0,3.0,-0.6804250937500955,AAPL
2021-02-25,121.0,0.16767014080721687,0.15797022862534504,0.6191644853911613,0.7868700562298462,2.1948477913513798,0.07535250546603896,-0.5,5.0,2.0,3.0,-0.6804250937500955,AAPL
2021-02-26,121.35,0.15170346045585995,0.20423674899939215,0.6071320668543461,0.7791867984343331,2.539765777943444,0.07864792866749003,-0.5,4.999999998488609,1.999999999386945,3.0,-0.681796580339705,AAPL
2021-03-01,127.79,0.1468921084219495,0.18837600920232944,0.6035062536696094,0.776856649369502,1.7342321391193947,0.24528144061292387,-0.5,4.999999998488609,1.999999999386945,3.0,-0.681796580339705,AAPL
2021-03-02,125.16,0.24173725727568013,0.1836601234099362,0.6749811299202801,0.8215723522126825,2.4253853155294753,0.2745234665964382,-0.5,4.999999998488609,1.999999999386945,3.0,-0.681796580339705,AAPL
