date,ticker,iv_reference,forecast_volatility,filtered_variance,spread
2021-01-06,AAPL,0.009080446230486115,0.061437433930095514,0.008097014355728738,-0.0523569876996094
2021-01-07,AAPL,0.007125811846333958,0.76267892759698,1.2479675784872144,-0.755553115750646
2021-01-08,AAPL,0.00445888886232552,0.7380078019061722,1.1685348986108068,-0.7335489130438467
2021-01-11,AAPL,0.007853476408171781,0.0395372538726132,0.0033526240318449262,-0.03168377746444142
2021-01-12,AAPL,0.006494869591205808,0.4092445148533556,0.3593226193700848,-0.4027496452621498
2021-01-13,AAPL,0.006938660819466577,0.17964958457400437,0.03227589428603325,-0.17271092375453778
2021-01-14,AAPL,0.005735524558558437,0.1798507979112565,0.03234823486355241,-0.17411527335269805
2021-01-15,AAPL,0.013375823632416257,0.17978627705442557,0.032325029390104086,-0.1664104534220093
2021-01-19,AAPL,0.011121120532346759,0.1801152057459078,0.032443418360586986,-0.16899408521356105
2021-01-20,AAPL,0.019155123192004537,0.17878573590613922,0.031966241980967286,-0.15963061271413467
2021-01-21,AAPL,0.0193826931701848,0.3230397334723076,0.10187011665734241,-0.30365704030212276
2021-01-22,AAPL,0.01832424878502912,0.33508251725790833,0.11015123585035706,-0.3167582684728792
2021-01-25,AAPL,0.010398533975790929,0.350087857232851,0.12089360292454114,-0.3396893232570601
2021-01-26,AAPL,0.010449959919996001,0.3541045087142497,0.12384896730802403,-0.3436545487942537
2021-01-27,AAPL,0.019766488718309164,0.35328065347030624,0.1232400442376377,-0.3335141647519971
2021-01-28,AAPL,0.011450078026834452,0.3349683660363079,0.1100238750495139,-0.32351828800947346
2021-01-29,AAPL,0.012700304208792212,0.3150733908097327,0.09651204006565164,-0.3023730866009405
2021-02-01,AAPL,0.009498295022795346,0.31843119903721095,0.09873450710732422,-0.3089329040144156
2021-02-02,AAPL,0.005653282825174646,0.3246549435257755,0.10291618503683149,-0.3190016607006009
2021-02-03,AAPL,0.004598207665649174,0.32170816912616157,0.10092618480726788,-0.3171099614605124
2021-02-04,AAPL,0.006799326997812927,0.33386285751380385,0.10932299410468334,-0.3270635305159909
2021-02-05,AAPL,0.006310936702713804,0.33427521720987896,0.10961107009297669,-0.32796428050716514
2021-02-08,AAPL,0.005654663575964224,0.33793422183017185,0.11218284048819302,-0.33227955825420763
2021-02-09,AAPL,0.005893991508735523,0.33633936547693194,0.11105843657367533,-0.3304453739681964
2021-02-10,AAPL,0.005116335993422443,0.3352578204483762,0.11029895349637765,-0.3301414844549538
2021-02-11,AAPL,0.0060249071120906834,0.05292996276665281,0.0038943531326124424,-0.04690505565456213
2021-02-12,AAPL,0.0035259569001780205,0.10307473888576846,0.020674375558894533,-0.09954878198559043
2021-02-16,AAPL,0.002060845808836805,0.04634978738014463,0.002493065471582345,-0.04428894157130782
