date,ticker,iv_reference,target_day_to_expiration,target_moneyness,n_fitted_expiries
2020-01-02,AAPL,0.2772522397776578,30,1.0,17
2020-01-03,AAPL,0.2897868508037877,30,1.0,16
2020-01-06,AAPL,0.26349307392694316,30,1.0,16
2020-01-07,AAPL,0.2751397976767678,30,1.0,16
2020-01-08,AAPL,0.26229836124552647,30,1.0,17
2020-01-09,AAPL,0.2540174511107002,30,1.0,18
2020-01-10,AAPL,0.2660087996779189,30,1.0,17
2020-01-13,AAPL,0.24199192053639557,30,1.0,17
2020-01-14,AAPL,0.35464660358806305,30,1.0,17
2020-01-15,AAPL,0.2669412946451033,30,1.0,17
2020-01-16,AAPL,0.22160371520937241,30,1.0,17
2020-01-17,AAPL,0.21159180695423913,30,1.0,16
2020-01-21,AAPL,0.22735390548065032,30,1.0,16
2020-01-22,AAPL,0.15964842943773486,30,1.0,16
2020-01-23,AAPL,0.20291140290474294,30,1.0,17
2020-01-24,AAPL,0.20062852350634808,30,1.0,16
2020-01-27,AAPL,0.2749416118597026,30,1.0,16
2020-01-28,AAPL,0.2717384031419057,30,1.0,16
2020-01-29,AAPL,0.15904324678233878,30,1.0,16
2020-01-30,AAPL,0.13953884315461756,30,1.0,17
2020-01-31,AAPL,0.26366059207724096,30,1.0,17
2020-02-03,AAPL,0.3177021598189819,30,1.0,17
2020-02-04,AAPL,0.2626128141774093,30,1.0,17
2020-02-05,AAPL,0.2721217437024495,30,1.0,17
2020-02-06,AAPL,0.2670869054418204,30,1.0,18
2020-02-07,AAPL,0.21365019628275853,30,1.0,17
2020-02-10,AAPL,0.26217385311052555,30,1.0,17
2020-02-11,AAPL,0.2679790661210331,30,1.0,17
2020-02-12,AAPL,0.2600543478260743,30,1.0,17
2020-02-13,AAPL,0.23059465111970037,30,1.0,19
2020-02-14,AAPL,0.24150020145549173,30,1.0,18
2020-02-18,AAPL,0.12014677555140839,30,1.0,18
2020-02-19,AAPL,0.1293084469159116,30,1.0,18
2020-02-20,AAPL,0.14332239584494508,30,1.0,18
2020-02-21,AAPL,0.2095746492977748,30,1.0,17
2020-02-24,AAPL,0.29033558282850014,30,1.0,18
2020-02-25,AAPL,0.3452254764684106,30,1.0,18
2020-02-26,AAPL,0.33430411099536766,30,1.0,18
2020-02-27,AAPL,0.4396086558907936,30,1.0,19
2020-02-28,AAPL,0.46393062271163715,30,1.0,18
2020-03-02,AAPL,0.20607980990798666,30,1.0,18
2020-03-03,AAPL,0.38463684842321383,30,1.0,18
2020-03-04,AAPL,0.2914307113263902,30,1.0,18
2020-03-05,AAPL,0.42106672926296757,30,1.0,19
2020-03-06,AAPL,0.3719133846683695,30,1.0,18
2020-03-09,AAPL,0.5958456965205877,30,1.0,18
2020-03-10,AAPL,0.5121791402908222,30,1.0,18
2020-03-11,AAPL,0.5717891680598172,30,1.0,18
